milestone,cohort,label,level,example
BIZDEV,DEFAULT,New Business Development,2,Articulates their own reasons for how Palantir differs from the competition
BIZDEV,DEFAULT,New Business Development,2,Writes blog posts
BIZDEV,DEFAULT,New Business Development,3,Writes proposals for project extensions
BIZDEV,DEFAULT,New Business Development,3,"Lends expertise to develop sales and marketing tools (e.g., validate and shape proposals, support ot P.net, development of pitch decks, proposals, etc.)"
BIZDEV,DEFAULT,New Business Development,3,Participates in new business pitch meetings
BIZDEV,DEFAULT,New Business Development,3,Attends conferences on behalf of Palantir and participates in speaking to current and prospective clients
BIZDEV,DEFAULT,New Business Development,4,Is in a leadership role on projects
BIZDEV,DEFAULT,New Business Development,4,Writes case studies
BIZDEV,DEFAULT,New Business Development,4,Writes large estimates and/or proposals; determines a project’s size and shape
BIZDEV,DEFAULT,New Business Development,4,Speaks at events where current and potential clients are in attendance
BIZDEV,DEFAULT,New Business Development,4,Participates in / leads efforts to transition clients between service lines
BIZDEV,DEFAULT,New Business Development,4,Identifies opportunities to pursue new types of projects/work
BIZDEV,DEFAULT,New Business Development,4,Plays a significant/leadership role in landing new business
BIZDEV,DEFAULT,New Business Development,4,Fosters ongoing relationships with clients
BIZDEV,DEFAULT,New Business Development,5,Works with the sales team to co-create strategic approach to pitches
BIZDEV,DEFAULT,New Business Development,5,Conceives of new products and/or service lines
BIZDEV,DEFAULT,New Business Development,5,Develops brand and marketing strategy for Palantir
BIZDEV,DEFAULT,New Business Development,5,Negotiates contracting terms
BIZDEV,DEFAULT,New Business Development,5,Acts as an expert resource to the estimating team
HEADER_ONE,ENGINEERING,Engineering Foundations,1,Is building proficiency with our tech stack and becoming comfortable with learning new technologies and skills
HEADER_ONE,ENGINEERING,Engineering Foundations,1,"Has experience with development best practices, Palantir's chosen technology stack, web accessibility, and web development frameworks"
HEADER_ONE,ENGINEERING,Engineering Foundations,1,Performs assigned tasks and tickets with occasional assistance
HEADER_ONE,ENGINEERING,Engineering Foundations,1,Helps estimate tickets while working on refining estimation skills
HEADER_ONE,ENGINEERING,Engineering Foundations,2,"Focuses on expanding experience and proficiency in our code base, with solid understanding of relevant areas"
HEADER_ONE,ENGINEERING,Engineering Foundations,2,"Is well-versed with development best practices, Palantir's chosen technology stack, web accessibility, and core development tools"
HEADER_ONE,ENGINEERING,Engineering Foundations,2,Performs assigned tasks and completes tickets close to estimated time with minimal assistance
HEADER_ONE,ENGINEERING,Engineering Foundations,2,Learns new areas of code base and new tech very quickly
HEADER_ONE,ENGINEERING,Engineering Foundations,2,Provides reliable estimates for tickets with context
HEADER_ONE,ENGINEERING,Engineering Foundations,3,Independently scopes and implements solutions for their project/team
HEADER_ONE,ENGINEERING,Engineering Foundations,3,"Is proficient in all relevant technical skills, and is able to move quickly"
HEADER_ONE,ENGINEERING,Engineering Foundations,3,Maintains awareness of industry trends and tools
HEADER_ONE,ENGINEERING,Engineering Foundations,3,Contributes to open source work
HEADER_ONE,ENGINEERING,Engineering Foundations,3,Demonstrates the ability to come up with solid technical solutions to ambiguous or open-ended problems
HEADER_ONE,ENGINEERING,Engineering Foundations,3,Often gives support to others in their areas of strongest skill
HEADER_ONE,ENGINEERING,Engineering Foundations,3,Accurately estimates ticketed work
HEADER_ONE,ENGINEERING,Engineering Foundations,4,Has a deep understanding of our architecture and how their domain fits within it.
HEADER_ONE,ENGINEERING,Engineering Foundations,4,Systematically thinks through potential design impacts on other teams and the company
HEADER_ONE,ENGINEERING,Engineering Foundations,4,"Is an expert in our processes, also helps to define them"
HEADER_ONE,ENGINEERING,Engineering Foundations,4,Keeps tests up to date
HEADER_ONE,ENGINEERING,Engineering Foundations,4,"Independently scopes, designs, and delivers solutions for large, complex challenges"
HEADER_ONE,ENGINEERING,Engineering Foundations,4,Debugs expertly within their primary focus area
HEADER_ONE,ENGINEERING,Engineering Foundations,4,"Provides oversight, coaching, and guidance through code and design reviews"
HEADER_ONE,ENGINEERING,Engineering Foundations,4,"Incredibly knowledgeable in their area of expertise, often to a degree that is recognized far beyond Palantir"
HEADER_ONE,ENGINEERING,Engineering Foundations,5,"Is a primary expert in multiple areas of our technology stack, incredibly knowledgeable in several domains"
HEADER_ONE,ENGINEERING,Engineering Foundations,5,Designs and builds industry-leading techniques to solve complex problems
HEADER_ONE,ENGINEERING,Engineering Foundations,5,"Anticipates technical challenges, thoroughly explores alternatives and trade-offs"
HEADER_ONE,ENGINEERING,Engineering Foundations,5,"Focuses on technical decision making, leading work that affects one or more complex systems and mission-critical areas"
HEADER_ONE,ENGINEERING,Engineering Foundations,5,Explores technologies with sizable potential impact for Palantir
HEADER_TWO,ENGINEERING,Back-End Coding,1,"Writes code that is sometimes production-ready, but usually requires iteration before shipping"
HEADER_TWO,ENGINEERING,Back-End Coding,1,Is becoming comfortable working with one or two specific disciplines
HEADER_TWO,ENGINEERING,Back-End Coding,1,Receives and integrates feedback from code reviews to ship high-quality code
HEADER_TWO,ENGINEERING,Back-End Coding,1,Participates in code reviews and technical design
HEADER_TWO,ENGINEERING,Back-End Coding,1,Receives and incorporates feedback from PR reviews
HEADER_TWO,ENGINEERING,Back-End Coding,1,Performs small PR reviews around functional behavior
HEADER_TWO,ENGINEERING,Back-End Coding,2,Writes code that usually ships promptly by receiving and successfully integrating critical input from code reviews. Work rarely needs to be rewritten before shipping
HEADER_TWO,ENGINEERING,Back-End Coding,2,Follows style guides
HEADER_TWO,ENGINEERING,Back-End Coding,2,Ships maintainable code that works and is understandable by teammates
HEADER_TWO,ENGINEERING,Back-End Coding,2,"Is becoming comfortable diving in and making changes to many areas of code, not just a single area of code"
HEADER_TWO,ENGINEERING,Back-End Coding,2,"Provides helpful, timely code reviews"
HEADER_TWO,ENGINEERING,Back-End Coding,2,Performs code audits
HEADER_TWO,ENGINEERING,Back-End Coding,3,"Consistently delivers code that sets the standard for quality, security, and maintainability"
HEADER_TWO,ENGINEERING,Back-End Coding,3,"Understands large swaths of the code base with a deep knowledge and ""reaches in and touches the right levers."" Able to move rapidly as a result"
HEADER_TWO,ENGINEERING,Back-End Coding,3,"Writes consistently reliable code, so that input from code reviewers is high-level only"
HEADER_TWO,ENGINEERING,Back-End Coding,3,"Provides code review feedback that is sought after, respected, and often instructional to others"
HEADER_TWO,ENGINEERING,Back-End Coding,3,Writes meaningful code reviews
HEADER_TWO,ENGINEERING,Back-End Coding,3,Sets the standards for performing code audits
HEADER_TWO,ENGINEERING,Back-End Coding,4,Has all the skills necessary to ship quickly
HEADER_TWO,ENGINEERING,Back-End Coding,4,Has built expertise in some relevant technical skills; good understanding of full stack
HEADER_TWO,ENGINEERING,Back-End Coding,4,Provides mentorship and technical guidance to more junior teammates
HEADER_TWO,ENGINEERING,Back-End Coding,4,"Writes highly insightful, comprehensive code reviews"
HEADER_TWO,ENGINEERING,Back-End Coding,5,Builds an entire complex product from scratch that requires significant R&D efforts
HEADER_TWO,ENGINEERING,Back-End Coding,5,Is seen as a leader who advances the state of the art and a contributor to the broader technical community
HEADER_TWO,ENGINEERING,Back-End Coding,5,Demonstrates the ability to resolve technical problems without little context
HEADER_TWO,ENGINEERING,Back-End Coding,5,"Constantly learning new technologies, can navigate and make legacy code maintainable"
HEADER_THREE,ENGINEERING,DevOps,1,Is building proficiency in creating solutions using tools and automation to improve operations
HEADER_THREE,ENGINEERING,DevOps,1,"Understands common software development tools and processes, including version control, issue tracking, and continuous build"
HEADER_THREE,ENGINEERING,DevOps,2,"Focuses on expanding experience and proficiency in DevOps practices, with solid understanding of operating systems"
HEADER_THREE,ENGINEERING,DevOps,2,"Understands web application development, server deployment and upkeep, and general networking practices"
HEADER_THREE,ENGINEERING,DevOps,2,Modifies existing software to correct errors with guidance
HEADER_THREE,ENGINEERING,DevOps,2,"Supports and improves our tools for continuous integration, automated testing, and release management with guidance"
HEADER_THREE,ENGINEERING,DevOps,3,Enhances and streamlines operational processes through automation and integration without guidance
HEADER_THREE,ENGINEERING,DevOps,3,Deploys and administers server-hosted software solutions
HEADER_THREE,ENGINEERING,DevOps,3,"Modifies existing software to correct errors, adapt to new hardware, or improve performance"
HEADER_THREE,ENGINEERING,DevOps,3,Is able to debug problems throughout the stack
HEADER_THREE,ENGINEERING,DevOps,4,Analyzes user needs and software requirements to determine feasibility of design within time and cost constraints
HEADER_THREE,ENGINEERING,DevOps,4,Responds to the needs of project managers and engineers to customize hosted tools to improve team efficiency
HEADER_THREE,ENGINEERING,DevOps,4,Uses scientific analysis and mathematical models to predict and measure outcomes and consequences of design
HEADER_THREE,ENGINEERING,DevOps,5,"Drives capacity for triaging and handling operational issues while advising the team on the process of writing code and engineering systems that will make their entire code base more reliable, testable, and scalable"
HEADER_THREE,ENGINEERING,DevOps,5,Is seen as an expert who advances the state of the art
HEADER_THREE,ENGINEERING,DevOps,5,Is a consistent contributor to the broader technical community
HEADER_THREE,ENGINEERING,DevOps,5,Creates innovative and comprehensive tools and practices to improve deployment and testing
HEADER_FOUR,ENGINEERING,Engineering Craft,1,"Tests new code thoroughly, both locally and in production once shipped"
HEADER_FOUR,ENGINEERING,Engineering Craft,1,Writes tests for every new feature and bug fix with guidance
HEADER_FOUR,ENGINEERING,Engineering Craft,1,Writes clear comments and documentation
HEADER_FOUR,ENGINEERING,Engineering Craft,1,"Works effectively within established web client architectures such as HTML, PHP, and JavaScript, following current best practices"
HEADER_FOUR,ENGINEERING,Engineering Craft,2,Refactors existing code to make it more testable
HEADER_FOUR,ENGINEERING,Engineering Craft,2,Adds tests for uncovered areas
HEADER_FOUR,ENGINEERING,Engineering Craft,2,Deletes unnecessary code and deprecates proactively when safe to do so
HEADER_FOUR,ENGINEERING,Engineering Craft,2,Assesses correctness and utility of existing code and avoids blind copy-pasting
HEADER_FOUR,ENGINEERING,Engineering Craft,2,Generalizes code when appropriate
HEADER_FOUR,ENGINEERING,Engineering Craft,2,Develops new instances of or minor improvements to existing architecture
HEADER_FOUR,ENGINEERING,Engineering Craft,3,Implements systems that enable better testing
HEADER_FOUR,ENGINEERING,Engineering Craft,3,Gives thoughtful code reviews as a domain expert
HEADER_FOUR,ENGINEERING,Engineering Craft,3,"Adds tooling to improve code quality, security, and maintainability"
HEADER_FOUR,ENGINEERING,Engineering Craft,4,"Builds complex, reusable architectures that leads to best practices and enable engineers to work more effectively"
HEADER_FOUR,ENGINEERING,Engineering Craft,4,Consistently keeps the team focused on quality
HEADER_FOUR,ENGINEERING,Engineering Craft,4,Coordinates priorities and projects
HEADER_FOUR,ENGINEERING,Engineering Craft,4,Iterates repeatedly to develop and refine Palantir's best practices
HEADER_FOUR,ENGINEERING,Engineering Craft,4,Acts as primary maintainer for existing critical systems
HEADER_FOUR,ENGINEERING,Engineering Craft,5,Defines policies for the engineering discipline that encourage quality work
HEADER_FOUR,ENGINEERING,Engineering Craft,5,Identifies and eliminates single points of failure throughout the discipline
HEADER_FOUR,ENGINEERING,Engineering Craft,5,Identifies and solves systemic problems with current architecture
HEADER_FOUR,ENGINEERING,Engineering Craft,5,"Creates a compelling technical vision with company-level impact, anticipating future needs"
HEADER_ONE,FED,Front-End Foundations,1,Is building proficiency with our web technologies and becoming comfortable with learning new technologies and skills
HEADER_ONE,FED,Front-End Foundations,1,"Has experience with web development frameworks, HTML, CSS, JavaScript, and website accessibility"
HEADER_ONE,FED,Front-End Foundations,1,Performs assigned tasks and tickets with occasional assistance
HEADER_ONE,FED,Front-End Foundations,1,Helps estimate tickets while working on refining estimation skills
HEADER_ONE,FED,Front-End Foundations,1,"Has an understanding of wireframing, UX design, and UI patterns"
HEADER_ONE,FED,Front-End Foundations,1,Has experience developing and testing across multiple browsers
HEADER_ONE,FED,Front-End Foundations,2,"Focuses on expanding experience and proficiency in our web technology practices, with solid understanding of relevant areas"
HEADER_ONE,FED,Front-End Foundations,2,"Is well versed with web development frameworks, HTML, CSS, JavaScript and website accessibility"
HEADER_ONE,FED,Front-End Foundations,2,Performs assigned tasks and tickets close to estimated time with minimal assistance
HEADER_ONE,FED,Front-End Foundations,2,Provides reliable estimates for tickets given a complete context
HEADER_ONE,FED,Front-End Foundations,2,Has a practical understanding of DevOps and how it is related to their work
HEADER_ONE,FED,Front-End Foundations,2,Makes open source contributions and proactively does so
HEADER_ONE,FED,Front-End Foundations,3,Independently scopes and implements solutions for their project/team
HEADER_ONE,FED,Front-End Foundations,3,Is proficient in all relevant technical skills and is able to move quickly.
HEADER_ONE,FED,Front-End Foundations,3,Maintains awareness of industry trends and tools
HEADER_ONE,FED,Front-End Foundations,3,Completes tickets reasonably close to estimated time without needing to be reminded
HEADER_ONE,FED,Front-End Foundations,3,Demonstrates the ability to come up with solid technical solutions to ambiguous or open-ended problems
HEADER_ONE,FED,Front-End Foundations,3,Often gives support to others in their areas of strongest skill
HEADER_ONE,FED,Front-End Foundations,3,Accurately estimates ticketed work
HEADER_ONE,FED,Front-End Foundations,4,Has a deep understanding of our architecture and how their domain fits within it.
HEADER_ONE,FED,Front-End Foundations,4,Systematically thinks through potential design impacts on other teams and the company
HEADER_ONE,FED,Front-End Foundations,4,"Is an expert in our processes, also helping define them."
HEADER_ONE,FED,Front-End Foundations,4,Keeps tests up to date
HEADER_ONE,FED,Front-End Foundations,4,"Independently scopes, designs, and delivers solutions for large, complex challenges"
HEADER_ONE,FED,Front-End Foundations,4,Debugs expertly within their primary focus area
HEADER_ONE,FED,Front-End Foundations,4,"Provides oversight, coaching, and guidance through code and design reviews"
HEADER_ONE,FED,Front-End Foundations,4,"Incredibly knowledgeable in their area of expertise, often to a degree that is recognized far beyond Palantir"
HEADER_ONE,FED,Front-End Foundations,5,Is viewed as a domain leader and contributor across the organization
HEADER_ONE,FED,Front-End Foundations,5,"Primary expert in multiple areas of our stack, incredibly knowledgeable in several domains"
HEADER_ONE,FED,Front-End Foundations,5,Designs and builds industry-leading techniques to solve complex problems
HEADER_ONE,FED,Front-End Foundations,5,Anticipates technical challenges and thoroughly explores alternatives and trade-offs
HEADER_ONE,FED,Front-End Foundations,5,"Focuses on technical decision making, leading work that affects one or more complex systems and mission-critical areas"
HEADER_ONE,FED,Front-End Foundations,5,Explores technologies with sizable potential impact for Palantir
HEADER_TWO,FED,Front-End Coding,1,"Writes front-end code that is sometimes production-ready, but usually requires iteration before shipping"
HEADER_TWO,FED,Front-End Coding,1,Is becoming comfortable working with one or two areas of front-end code
HEADER_TWO,FED,Front-End Coding,1,Receives and integrates feedback from front-end code reviews to ship high-quality code
HEADER_TWO,FED,Front-End Coding,1,Participates in front-end code reviews and architecture design
HEADER_TWO,FED,Front-End Coding,2,Writes front-end code that usually ships promptly by receiving and successfully integrating critical input from code reviews. Work rarely needs to be rewritten before delivery
HEADER_TWO,FED,Front-End Coding,2,Follows style guides
HEADER_TWO,FED,Front-End Coding,2,Ships maintainable front-end code that works and is understandable by teammates
HEADER_TWO,FED,Front-End Coding,2,"Is becoming comfortable diving in and making changes to many areas of code, not just a single area of code"
HEADER_TWO,FED,Front-End Coding,2,"Provides helpful, timely front-end code reviews"
HEADER_TWO,FED,Front-End Coding,3,Consistently delivers front-end code that sets the standard for quality and maintainability
HEADER_TWO,FED,Front-End Coding,3,"Understands large swaths of the code base with a deep knowledge and ability to ""reach in and touch the right levers."" Able to move rapidly as a result"
HEADER_TWO,FED,Front-End Coding,3,"Writes consistently reliable code, so input from code reviewers is high-level only"
HEADER_TWO,FED,Front-End Coding,3,"Provides front-end code review feedback that is sought after, respected, and often instructional"
HEADER_TWO,FED,Front-End Coding,3,Writes meaningful front-end code reviews
HEADER_TWO,FED,Front-End Coding,3,Translates design solutions into high-quality front-end code
HEADER_TWO,FED,Front-End Coding,4,Has all the skills necessary to ship quickly
HEADER_TWO,FED,Front-End Coding,4,Has built expertise in some relevant technical skills; good understanding of full stack
HEADER_TWO,FED,Front-End Coding,4,Provides mentorship and technical guidance to more junior teammates
HEADER_TWO,FED,Front-End Coding,4,Provides highly insightful code review feedback that addresses high-level thoughts
HEADER_TWO,FED,Front-End Coding,4,"Writes highly insightful, comprehensive front-end code reviews"
HEADER_TWO,FED,Front-End Coding,5,"Builds cutting-edge web applications, with a focus on client side"
HEADER_TWO,FED,Front-End Coding,5,Leads code testing integration and oversees quality system performance
HEADER_TWO,FED,Front-End Coding,5,"Is seen as a leader who advances the state of the art, and is a contributor to the broader technical community"
HEADER_TWO,FED,Front-End Coding,5,"Constantly learning new web technologies, can navigate and make legacy front-end code maintainable"
HEADER_TWO,FED,Front-End Coding,5,Leads code reviews and guides software architecture decisions
HEADER_THREE,FED,Web Technologies,1,Makes minor modifications to existing work
HEADER_THREE,FED,Web Technologies,1,Fixes simple design quality issues
HEADER_THREE,FED,Web Technologies,1,"Uses CSS appropriately, following style guide"
HEADER_THREE,FED,Web Technologies,2,Makes sensible abstractions based on template and code patterns
HEADER_THREE,FED,Web Technologies,2,Specs and builds interactive components independently
HEADER_THREE,FED,Web Technologies,2,Prototypes simple new features quickly
HEADER_THREE,FED,Web Technologies,2,Builds modal systems
HEADER_THREE,FED,Web Technologies,3,Provides useful design feedback and suggests feasible alternatives
HEADER_THREE,FED,Web Technologies,3,Performs systemic tasks to significantly minimize bundle size
HEADER_THREE,FED,Web Technologies,3,Acts a caretaker for all of web client code
HEADER_THREE,FED,Web Technologies,3,Prototypes with code using modern front-end frameworks and digital pattern library
HEADER_THREE,FED,Web Technologies,4,Initiates and leads architecture migrations that reduce programmer burden
HEADER_THREE,FED,Web Technologies,4,Implements complex UI transitions that bring delight
HEADER_THREE,FED,Web Technologies,4,Makes architectural decisions that eliminate entire classes of bugs
HEADER_THREE,FED,Web Technologies,5,Invents new techniques to mitigate browser constraints when feasible
HEADER_THREE,FED,Web Technologies,5,Identifies and solves systemic problems with current architecture
HEADER_THREE,FED,Web Technologies,5,Defines a long-term vision for web client and ensures projects are in service of it
HEADER_THREE,FED,Web Technologies,5,Implements omni directional data flow to completion
HEADER_FOUR,FED,Front-End Craft,1,"Understands the entire web development process, including design, development, and deployment and has some back-end knowledge as well"
HEADER_FOUR,FED,Front-End Craft,1,Builds responsive and adaptive websites with guidance of a more experienced FED
HEADER_FOUR,FED,Front-End Craft,2,"Understands and demonstrates knowledge of accessibility needs, concerns, design, and best practices"
HEADER_FOUR,FED,Front-End Craft,2,"Builds semantic, accessible, and maintainable front-end interfaces"
HEADER_FOUR,FED,Front-End Craft,2,Accurately translates prototypes and design into working interfaces
HEADER_FOUR,FED,Front-End Craft,3,Supports complex and secure components for modern browsers written in the latest web standards
HEADER_FOUR,FED,Front-End Craft,3,Works with UX to develop and maintain processes that ensure our tools and practices are up to date
HEADER_FOUR,FED,Front-End Craft,3,Gives thoughtful front-end code reviews as a domain expert
HEADER_FOUR,FED,Front-End Craft,3,Implements systems that enable better testing
HEADER_FOUR,FED,Front-End Craft,3,Adds tooling to improve front-end code base quality
HEADER_FOUR,FED,Front-End Craft,3,Maintains high coding standards and practices to exercise quality control on all aspects of web development
HEADER_FOUR,FED,Front-End Craft,4,Takes the lead on browser/device acceptance testing and bug fixing
HEADER_FOUR,FED,Front-End Craft,4,Collaborates with UX designers to promote and achieve optimal solutions for clients
HEADER_FOUR,FED,Front-End Craft,4,Leads client demos
HEADER_FOUR,FED,Front-End Craft,4,Maintains and improves front-end code bases across a wide variety of projects
HEADER_FOUR,FED,Front-End Craft,4,Improves quality of work to meet the level of Palantir's best solutions through repeated iteration
HEADER_FOUR,FED,Front-End Craft,5,Defines policies for the team that encourage quality work
HEADER_FOUR,FED,Front-End Craft,5,Identifies and eliminates single points of failure throughout the chapter
HEADER_FOUR,FED,Front-End Craft,5,Secures time and resources from executive leadership to support great quality
HEADER_FOUR,FED,Front-End Craft,5,"Creates a compelling technical vision with company-level impact, anticipating future needs"
HEADER_ONE,PM,Project Management Foundations,1,Is building proficiency in our project management practice
HEADER_ONE,PM,Project Management Foundations,1,Has working knowledge of our project management tool set
HEADER_ONE,PM,Project Management Foundations,1,Measures project performance using appropriate tools and techniques
HEADER_ONE,PM,Project Management Foundations,1,"Responds promptly to client inquiries and requests, and proactively communicates to both clients and team members about project scheduling"
HEADER_ONE,PM,Project Management Foundations,1,"Organizes agreements, budgets, scope of work, and timelines for the project teams to easily and efficiently reference"
HEADER_ONE,PM,Project Management Foundations,1,Creates timelines to manage the project as outlined in the scope of work (SOW)
HEADER_ONE,PM,Project Management Foundations,1,Manages to the budget outlined in the scope of work (SOW)
HEADER_ONE,PM,Project Management Foundations,1,Works within the given parameters outlined in the project’s scope of work (SOW)
HEADER_ONE,PM,Project Management Foundations,1,"Facilitates team through Agile practices, including daily scrums, backlog planning, sprint planning, and retrospectives"
HEADER_ONE,PM,Project Management Foundations,2,Is strengthening proficiency in our project management practice
HEADER_ONE,PM,Project Management Foundations,2,Defines project management work for themselves (self-directed)
HEADER_ONE,PM,Project Management Foundations,2,Is able to develop comprehensive project plans with assistance of more experienced project managers
HEADER_ONE,PM,Project Management Foundations,2,Closely monitors projects to ensure that they maintain the timeline and are within scope and budget constraints
HEADER_ONE,PM,Project Management Foundations,2,Develops a detailed project plan to monitor and track progress
HEADER_ONE,PM,Project Management Foundations,2,Monitors client satisfaction
HEADER_ONE,PM,Project Management Foundations,2,"Presents budgets, scope of work, and timelines to the appropriate stakeholders"
HEADER_ONE,PM,Project Management Foundations,2,"Monitors and communicates gaps in achieving the agreements, budgets, scope of work, and timelines"
HEADER_ONE,PM,Project Management Foundations,2,Monitors the project workstream and checks in with team members if their tickets aren’t being tracked or completed in a timely fashion.
HEADER_ONE,PM,Project Management Foundations,2,Provides leadership by customizing project status reports to meet stakeholder needs/preferences
HEADER_ONE,PM,Project Management Foundations,2,Creates and maintains comprehensive project documentation and presents it to the appropriate stakeholders
HEADER_ONE,PM,Project Management Foundations,2,"Knows the differences between UX, UI and Engineering work, understanding their cadences and deliverables"
HEADER_ONE,PM,Project Management Foundations,2,"Supports team members in ticketed work when budget and opportunity allow (e.g., QA, participating in UX sessions, etc.)"
HEADER_ONE,PM,Project Management Foundations,3,Establishes and promote best practices and standards in our project management practice
HEADER_ONE,PM,Project Management Foundations,3,Partners with the PO to translate project goals into a project plan that maximizes Palantir's expertise and resourcing to deliver value to the client
HEADER_ONE,PM,Project Management Foundations,3,"Accommodates project constraints in regards to resources, budget, time, and scope in order to meet desired outcomes"
HEADER_ONE,PM,Project Management Foundations,3,"Actively manages changes to the project scope, budget, and timeline using appropriate verification techniques"
HEADER_ONE,PM,Project Management Foundations,3,"Partners with the PO to delegate project tasks to teammates considering their individual strengths, skill sets, and experience levels"
HEADER_ONE,PM,Project Management Foundations,3,Is well-versed with project management methodologies and tools
HEADER_ONE,PM,Project Management Foundations,3,Provides necessary context for the team so that team members can understand their roles on the project and tackle their tasks efficiently
HEADER_ONE,PM,Project Management Foundations,3,Sets and continually manages project expectations while delegating and managing deliverables with team members and stakeholders
HEADER_ONE,PM,Project Management Foundations,3,Develops new plays in their area of expertise
HEADER_ONE,PM,Project Management Foundations,3,Tracks project benefits realization and lessons learned to feed into ongoing improvements
HEADER_ONE,PM,Project Management Foundations,4,"As a project team lead, shares management of the difficult client relationship conversations with the other members of the client success team (having difficult conversations)"
HEADER_ONE,PM,Project Management Foundations,4,Helps the client and team define success criteria and disseminates these to involved parties throughout the project and program life cycle
HEADER_ONE,PM,Project Management Foundations,4,"Elevates the project management discipline by establishing practices, templates, policies, tools, and partnerships Streamlines and level-sets project management practices across the different service lines"
HEADER_ONE,PM,Project Management Foundations,4,"Keeps an eye on latest strategies, tools, and terminologies used in project management worldwide"
HEADER_ONE,PM,Project Management Foundations,4,Mentors and coaches project management cohort
HEADER_ONE,PM,Project Management Foundations,4,Is incredibly knowledgeable in their area of expertise recognized by industry experts/leaders outside of Palantir
HEADER_ONE,PM,Project Management Foundations,4,Facilitates the creation and internal drafts of SOWs / Contracts
HEADER_ONE,PM,Project Management Foundations,5,Manages dilemmas and paradoxes as they occur throughout the project life cycle by identifying and communicating trade-offs to key stakeholders
HEADER_ONE,PM,Project Management Foundations,5,Approves SOWs/Contracts
HEADER_ONE,PM,Project Management Foundations,5,Is a leader and contributor in the broader organization
HEADER_ONE,PM,Project Management Foundations,5,Designs industry-leading techniques to solve complex problems
HEADER_TWO,PM,Plan,1,"Understands all project agreements, budgets, scopes of work, and timelines"
HEADER_TWO,PM,Plan,1,"With guidance, creates and maintains comprehensive project documentation"
HEADER_TWO,PM,Plan,1,"With guidance, creates and maintains a high-level project schedule with major milestones, and makes sure that the schedule is visible and accessible to the project team and client"
HEADER_TWO,PM,Plan,1,"With guidance, monitors and communicates project progress against scope, quality, time, and cost baselines, including approved changes"
HEADER_TWO,PM,Plan,1,"With guidance, creates and monitors project progress with the team and plans for how much work will be completed in each sprint using point budgets"
HEADER_TWO,PM,Plan,1,"Updates the resource forecasting tool for all members of the team, based on project needs and budget limits, on a consistent and timely basis"
HEADER_TWO,PM,Plan,1,Ensures resource availability and allocation
HEADER_TWO,PM,Plan,1,Ensures that team members have awareness of and visibility into the amount of time they are resourced to the project each week
HEADER_TWO,PM,Plan,1,"Monitors the billing schedule, and makes that schedule visible and accessible to the financial team and client"
HEADER_TWO,PM,Plan,2,"Without guidance, creates and maintains a high-level project schedule with major milestones, and makes sure that the schedule is visible and accessible to the project team and client"
HEADER_TWO,PM,Plan,2,"Without guidance, monitors and communicates project progress against scope, quality, time, and cost baselines, including approved changes"
HEADER_TWO,PM,Plan,2,"Without guidance, creates and monitors project progress with the team and plans for how much work will be completed in each sprint using point budgets"
HEADER_TWO,PM,Plan,2,"Ensures that the project has a defined, documented and estimated scope of work that fits within the budget"
HEADER_TWO,PM,Plan,2,Ensures any scope changes remain within the budget or ensures a change order is pursued
HEADER_TWO,PM,Plan,2,"Monitors and communicates project progress against scope, quality, time, and cost baselines, including approved changes"
HEADER_TWO,PM,Plan,2,"Creates and maintains a high-level project schedule with major milestones, and makes that schedule visible and accessible to the project team and client"
HEADER_TWO,PM,Plan,2,"Assess and communicates project impacts (e.g., adjusted schedule, budget, scope) when a team member or client identifies an issue or constraint (e.g., team velocity drops/rises, client misses deadlines, etc.)"
HEADER_TWO,PM,Plan,3,"Develops a detailed project plan, based on delivering value to the client, to monitor and track progress against"
HEADER_TWO,PM,Plan,3,"Identifies when project constraints shift, and adjusts the project plan based on new information (ex: team velocity drops/rises, client misses deadlines)"
HEADER_TWO,PM,Plan,3,"Assists in the definition of project scope and objectives, involving all relevant stakeholders and ensuring technical feasibility"
HEADER_TWO,PM,Plan,3,"Manages project progress against scope, quality, time, and cost baselines, including approved changes"
HEADER_TWO,PM,Plan,3,Facilitates client conversations to categorize features in priority order
HEADER_TWO,PM,Plan,3,"Partners with the appropriate team members to ensure that changes to the project are tangible, strategic, and achievable"
HEADER_TWO,PM,Plan,3,"Documents project needs in a consumable and effective way (e.g., spreadsheets, diagrams, process maps)"
HEADER_TWO,PM,Plan,3,Partners with the appropriate team members to ensure that changes fit within the project strategy and desired outcomes
HEADER_TWO,PM,Plan,3,Establishes a completion plan that includes all aspects of delivery of project outcomes across the entire project life cycle
HEADER_TWO,PM,Plan,3,"Discusses the standard project process with the team and client, in order to ensure that timelines, schedules, and milestones reflect the appropriate path for the project to follow"
HEADER_TWO,PM,Plan,4,"Establishes best practices on how to create and maintain a high-level project schedule with major milestones, and makes sure that the schedule is visible and accessible to the project team and client"
HEADER_TWO,PM,Plan,4,"Establishes best practices on how to monitor and communicate project progress against scope, quality, time, and cost baselines, including approved changes"
HEADER_TWO,PM,Plan,4,Leads discussions to review and finalize scope change requests
HEADER_TWO,PM,Plan,4,Coaches others on effective project planning
HEADER_TWO,PM,Plan,4,Partners with the appropriate team members to ensure that the finished project is strategically beneficial to the client
HEADER_TWO,PM,Plan,4,Defends product integrity from misinformed decision-making both internally and externally
